Diamtrs,Laiks3,Laiks2,Laiks1
0.978,55.54,29.78,7.78
2.403,2.15,24.61,2.44
2.248,32.22,56.54,47.5
1.632,29.55,37.65,55.16
1.481,55.57,36.12,32.18
1.313,21.24,56.93,17.8
1.92,50.01,0.2,50.25
1.132,20.04,33.33,5.79
2.487,55.35,30.76,14.8
0.546,36.31,13.79,34.53
0.639,5.24,21.11,56.88
2.191,42.44,4.49,0.48
1.844,56.47,39.38,59.51
1.773,21.5,0.45,8.33
2.189,6.69,3.52,25.5
0.776,37.35,34.96,25.14
0.016,54.97,15.51,40.81
1.469,55.01,55.87,29.45
2.79,13.81,12.8,9.08
2.965,0.34,30.92,42.36
0.063,4.23,44.61,27.95
0.734,24.0,27.47,12.9
1.589,58.39,25.19,2.09
2.459,44.17,53.0,8.4
1.641,44.04,25.5,8.02
1.845,8.39,54.87,29.58
1.224,15.98,47.04,32.42
2.607,50.54,57.04,41.1
1.573,0.77,52.16,1.36
2.213,19.62,49.45,21.25
2.525,59.69,43.16,14.63
0.504,56.79,49.48,23.91
0.599,19.06,16.73,4.02
0.362,48.62,55.55,34.17
1.928,59.84,51.29,54.62
2.488,39.71,22.07,7.86
0.11,40.03,12.47,17.19
1.165,42.02,33.77,56.64
0.206,9.94,35.61,13.96
1.531,38.28,3.01,52.41
2.028,6.75,19.35,34.93
1.168,24.82,47.42,28.21
2.595,29.19,35.49,18.28
2.578,42.26,37.05,20.48
0.208,50.39,52.11,23.29
1.325,21.54,29.31,6.4
2.529,40.08,48.7,12.31
2.645,26.42,11.97,26.43
0.556,19.03,46.33,21.0
0.244,8.6,11.41,21.42
0.208,26.14,29.18,43.9
2.384,29.83,32.89,52.63
0.289,24.76,20.99,49.12
2.067,14.44,40.54,12.18
1.755,44.31,1.19,30.64
2.833,27.02,32.27,52.0
2.675,56.94,50.38,26.28
2.632,45.77,0.07,4.7
0.753,37.29,31.25,58.38
1.121,7.6,56.01,16.95
0.241,14.95,47.86,46.54
0.842,56.17,52.09,18.89
0.135,25.97,18.82,51.85
0.139,53.99,16.28,39.66
2.263,55.97,25.71,19.95
1.198,29.44,14.04,55.36
0.934,56.7,59.68,3.72
0.126,37.12,42.38,44.69
1.434,57.32,19.61,34.88
2.304,50.08,22.74,33.47
0.239,39.1,51.93,18.75
0.769,3.94,52.03,51.13
2.663,12.44,24.47,9.18
2.401,34.52,6.22,9.27
0.547,20.59,23.68,3.15
1.524,17.96,15.71,30.29
1.616,13.19,27.09,43.24
0.686,43.78,46.94,53.79
2.435,14.76,19.35,48.83
1.995,42.48,47.89,33.3
0.464,23.23,49.71,39.3
2.147,31.96,20.5,53.58
0.131,41.83,36.12,47.76
2.024,22.4,36.54,52.65
1.444,26.33,31.17,40.37
2.204,39.56,3.19,25.97
2.403,16.44,57.84,9.32
1.847,5.03,38.04,58.88
1.933,34.43,21.47,0.78
0.279,53.41,34.67,24.89
1.407,12.4,49.49,8.42
0.14,30.1,31.06,53.58
2.442,59.2,34.54,40.44
0.451,34.96,45.04,6.46
1.891,11.65,34.63,50.19
2.408,25.34,0.12,57.76
2.896,27.89,25.45,47.52
0.319,58.41,33.18,47.99
0.718,58.24,5.75,24.43
2.063,18.61,57.83,35.3
2.709,18.8,27.45,22.04
1.541,1.3,46.74,40.65
1.024,49.86,44.11,27.85
1.579,16.7,55.78,26.2
0.536,15.24,9.39,18.19
2.77,49.74,46.91,49.61
1.686,39.9,21.25,3.12
1.085,17.46,29.76,53.4
2.751,5.41,32.94,10.38
2.258,18.81,37.5,45.51
0.963,58.52,24.02,2.03
2.74,19.02,55.09,58.84
0.712,55.91,1.17,8.4
1.917,19.72,25.85,1.33
1.073,28.19,44.1,58.98
1.418,5.03,31.84,28.49
0.991,50.38,4.57,33.54
2.586,53.58,23.29,5.06
0.364,23.33,7.49,34.41
0.743,53.58,29.77,54.76
0.534,15.28,59.12,28.75
1.896,31.13,4.33,23.47
0.289,11.0,15.97,48.18
1.204,45.22,20.61,58.12
1.69,15.56,4.49,12.09
2.19,53.98,59.84,10.48
0.754,56.1,22.94,45.72
2.842,22.74,36.29,21.4
0.52,47.83,46.86,1.79
1.781,44.68,13.57,20.95
2.781,13.32,32.22,15.32
0.277,7.7,55.92,53.9
2.119,14.26,38.21,14.24
2.961,59.33,38.23,31.08
1.188,34.6,6.28,30.14
1.43,23.6,15.4,35.11
0.878,6.64,6.31,46.86
2.154,48.06,26.67,13.46
0.98,18.27,19.0,29.54
1.91,6.72,50.95,5.63
2.738,3.6,13.96,56.23
2.271,44.43,16.06,26.01
1.097,36.81,16.49,40.95
1.601,40.44,24.61,20.98
1.569,44.22,52.27,57.38
2.979,27.56,17.98,27.71
1.827,0.21,5.06,39.67
2.347,8.65,36.76,55.96
0.317,32.5,28.83,51.49
1.648,28.52,36.39,6.96
0.763,57.82,37.06,27.51
2.048,34.79,54.54,54.76
2.935,0.65,4.43,30.64
1.147,16.07,45.2,22.18
1.057,53.53,29.17,58.11
0.26,10.16,33.91,0.94
0.124,34.17,38.54,36.17
0.433,38.92,53.6,29.39
2.05,6.43,32.59,14.51
0.712,13.44,38.73,1.45
0.092,47.77,56.69,32.04
0.451,57.92,40.04,48.97
2.715,16.84,52.28,21.77
2.975,32.79,4.04,2.48
0.653,47.07,54.42,23.83
2.213,3.68,6.95,42.48
2.735,50.02,1.29,24.53
0.021,58.41,33.14,44.32
1.266,35.24,47.92,48.67
2.917,10.99,15.97,22.64
0.495,11.23,41.06,57.96
0.795,21.34,29.27,25.19
0.486,2.91,34.96,29.64
1.485,45.63,0.55,59.03
1.935,5.19,48.24,36.43
2.694,27.96,24.72,53.4
2.235,20.34,23.88,14.58
2.291,26.91,35.76,2.01
2.906,56.73,16.82,36.57
0.282,29.07,25.21,37.44
2.476,28.24,47.96,24.29
2.879,38.98,15.85,4.38
0.18,18.0,15.39,36.86
2.174,53.85,40.16,20.72
1.513,9.87,55.24,43.95
1.94,58.51,45.44,38.9
2.333,9.46,9.04,17.7
2.299,36.5,49.51,42.05
1.096,3.01,23.35,38.14
1.903,15.66,48.42,3.35
2.848,34.39,33.41,15.96
0.729,45.85,20.54,39.21
0.446,55.49,36.18,45.3
2.793,13.63,58.91,56.96
2.533,12.52,40.21,0.99
2.866,34.83,56.95,48.91
2.385,50.03,23.41,32.08
1.555,11.82,19.45,26.25
0.056,29.87,27.78,21.84
2.752,7.97,28.7,51.5
1.741,20.33,47.48,45.2
0.554,13.65,43.45,54.09
1.992,42.46,31.83,3.49
0.284,53.39,4.09,44.4
2.901,22.05,37.78,6.13
2.613,11.35,50.07,59.67
2.394,17.43,39.71,53.15
1.326,40.96,6.72,4.42
1.107,37.68,16.86,34.59
1.567,38.82,37.86,8.11
1.687,18.92,9.13,10.37
1.08,22.69,28.25,8.68
2.655,40.17,14.16,43.72
2.262,24.68,19.22,44.34
1.739,41.74,47.42,43.7
0.238,4.94,10.11,56.61
0.707,55.97,10.13,28.22
0.3,40.03,41.06,43.85
2.402,28.61,34.48,34.36
2.136,29.79,15.36,48.43
1.484,53.24,31.71,32.96
2.924,10.55,42.22,44.51
1.408,36.47,14.94,11.91
2.848,31.16,30.16,22.58
1.272,30.84,18.69,1.38
1.342,29.13,18.55,28.98
0.593,50.28,51.49,30.97
1.379,48.17,8.5,9.07
1.88,58.28,54.76,48.65
2.305,53.21,27.13,43.01
1.999,31.98,17.49,7.75
1.78,35.82,34.15,49.89
2.779,55.32,13.67,52.2
1.837,32.98,42.17,57.49
0.951,59.21,17.16,9.35
2.453,14.84,36.13,3.91
2.726,19.02,24.22,15.43
1.74,29.96,58.82,34.5
2.524,54.66,58.91,23.05
2.848,49.09,45.3,20.72
2.627,42.75,34.73,16.69
1.322,50.6,43.41,41.72
1.015,38.28,31.93,57.97
0.075,0.04,38.91,54.86
2.997,18.56,51.17,42.56
2.638,32.38,47.49,53.89
1.518,41.94,51.27,25.1
2.235,17.12,34.64,4.35
1.346,7.21,39.95,46.45
0.851,1.8,0.47,8.15
1.298,27.43,35.61,38.32
2.599,16.5,19.82,15.32
1.065,54.29,8.18,46.73
2.979,46.11,48.18,57.4
2.437,26.04,4.63,54.85
0.351,38.52,12.31,59.02
0.875,43.09,3.66,9.6
2.226,29.61,36.3,23.7
1.669,51.64,18.37,52.02
2.146,22.88,46.43,35.84
0.682,48.43,56.29,39.94
2.125,53.4,33.29,22.89
1.388,18.01,59.2,34.17
0.66,31.59,2.24,4.06
2.13,28.03,45.18,0.53
0.918,16.05,24.77,49.15
1.495,15.69,24.19,29.51
1.212,58.92,2.13,48.82
2.301,50.64,2.29,20.46
0.526,34.49,49.74,1.85
2.822,40.74,9.18,42.2
1.306,22.06,1.17,49.87
1.958,58.09,46.21,23.25
1.086,19.48,39.73,27.6
1.631,10.62,3.62,18.46
0.167,41.99,49.66,3.55
0.984,51.08,41.92,1.31
0.428,43.73,48.9,7.13
0.353,48.86,4.78,27.41
2.755,1.73,52.46,51.65
1.787,38.33,30.27,14.0
0.248,7.16,35.16,22.74
0.325,13.35,7.66,16.78
1.129,48.23,4.86,41.57
2.416,42.55,11.7,30.8
1.547,22.6,7.95,41.16
0.762,6.07,32.57,53.54
2.468,28.8,44.13,16.11
1.273,23.86,49.86,55.6
0.69,34.56,6.7,10.77
1.531,13.4,5.05,48.38
0.593,30.51,24.2,38.29
0.892,42.33,57.85,22.4
0.503,32.28,14.4,23.9
0.819,0.86,38.47,1.81
1.752,32.51,38.96,30.4
1.96,23.22,25.13,33.07
2.415,42.46,19.66,13.55
1.041,22.71,0.2,12.68
1.004,11.11,44.77,25.84
0.606,7.72,23.43,42.33
2.723,45.51,21.87,49.3
1.926,46.27,48.88,9.57
1.163,25.48,30.16,38.91
2.977,25.43,53.31,50.79
1.33,3.79,31.72,11.37
2.413,58.91,23.92,1.25
1.46,45.31,51.62,33.24
2.091,49.13,43.07,38.2
2.175,55.83,16.34,55.71
2.2,52.53,46.81,41.55
0.029,50.11,57.04,52.5
0.339,5.17,9.76,18.1
0.059,16.49,1.49,32.66
0.116,9.35,17.4,3.17
0.19,38.74,37.97,42.08
0.232,54.11,30.39,28.81
2.407,21.43,46.11,46.58
1.594,14.3,19.93,6.28
2.811,22.14,0.77,5.21
2.166,48.56,52.22,34.29
1.868,46.04,25.74,59.05
0.141,17.06,43.53,25.36
2.752,9.59,32.77,29.88
0.713,20.1,49.6,49.49
1.634,34.39,41.44,12.25
0.23,31.09,26.38,19.28
0.595,36.14,14.12,14.56
2.782,36.9,59.45,45.45
2.869,3.72,0.09,19.92
0.695,36.31,9.55,56.98
1.811,9.64,16.57,33.3
2.109,37.29,3.28,18.25
1.042,19.51,58.75,0.32
2.225,39.15,13.75,9.08
1.641,29.2,27.64,45.88
2.839,48.07,22.82,11.63
2.456,18.88,26.09,38.99
0.205,45.38,35.79,51.96
0.751,21.44,9.97,56.65
0.985,35.29,33.28,50.83
1.086,15.89,41.77,28.44
1.12,11.22,35.88,7.79
1.306,5.94,15.69,6.89
0.475,18.6,43.1,28.1
1.826,38.51,15.67,24.38
1.421,12.66,25.16,14.27
2.917,52.57,26.28,24.43
2.102,2.33,18.55,9.96
2.31,1.8,28.8,37.54
2.258,7.97,38.73,10.84
2.294,47.86,57.76,58.44
2.139,24.98,3.44,44.94
0.363,0.86,43.99,8.99
1.868,6.95,40.5,47.38
0.545,51.61,36.54,50.92
1.727,15.69,2.68,21.69
1.459,34.31,54.43,26.46
1.288,34.02,53.67,40.08
2.959,20.91,23.38,40.13
1.525,54.78,0.99,16.72
1.294,44.16,1.84,26.11
2.627,34.67,42.23,53.5
0.661,25.15,46.51,10.16
2.086,6.67,11.57,2.75
2.731,46.79,31.29,5.37
1.053,5.57,51.42,29.96
2.185,47.5,29.84,7.16
1.758,44.41,25.23,13.84
2.797,27.86,9.11,57.67
0.635,49.18,37.16,37.32
0.157,25.81,59.9,15.09
2.652,23.93,38.57,5.06
2.994,53.52,47.9,20.95
2.63,2.33,7.04,5.4
1.284,26.35,34.59,58.98
0.711,32.58,54.42,34.77
0.747,51.48,53.26,24.52
0.936,17.6,35.58,35.02
1.676,21.99,54.26,46.61
0.424,40.59,3.13,11.8
1.061,51.84,1.66,51.3
1.928,17.7,51.5,7.37
1.959,20.43,46.23,55.36
1.26,43.5,17.37,59.84
2.25,20.33,27.88,51.24
0.183,11.93,36.36,36.9
1.336,39.84,50.84,31.98
2.339,17.62,17.25,25.63
1.039,44.07,19.18,27.08
2.214,41.06,45.71,25.05
0.365,43.06,13.67,55.41
1.993,27.91,44.99,24.49
1.175,46.56,31.06,21.95
0.445,32.91,25.09,18.54
1.113,22.17,47.53,52.47
2.984,22.22,12.58,40.55
1.614,0.39,44.75,56.91
1.473,4.13,43.28,50.71
0.671,32.71,19.1,55.66
1.006,53.0,19.11,7.68
1.537,30.79,38.49,26.81
2.38,30.83,36.79,54.0
1.561,14.65,19.27,15.21
0.934,5.84,23.18,20.3
0.014,12.24,26.99,2.64
0.371,11.01,18.92,16.48
1.657,31.37,56.2,31.76
2.447,6.29,18.42,10.11
2.947,4.57,2.58,47.01
1.979,42.22,28.15,2.2
2.05,56.75,39.43,26.53
0.041,24.97,33.14,4.95
1.834,48.68,57.83,24.91
2.232,55.45,41.47,3.99
0.123,0.32,21.45,36.56
1.037,47.99,31.4,8.03
1.39,30.79,1.62,22.3
2.438,32.71,39.38,55.12
0.195,40.67,1.73,47.53
0.251,36.12,27.67,41.76
2.134,8.96,58.74,3.18
1.505,56.2,53.63,44.53
1.859,40.0,13.58,56.88
2.511,45.99,59.65,48.55
0.479,17.64,34.22,56.23
0.521,16.85,15.57,7.24
2.246,0.02,35.25,25.97
2.769,11.46,12.38,8.84
2.773,30.22,6.29,47.94
1.521,35.68,8.22,43.97
0.762,51.72,35.1,42.47
1.638,14.32,1.14,39.12
1.783,15.84,16.37,49.62
1.443,56.93,5.62,39.79
2.512,28.64,18.37,6.22
2.395,9.13,29.03,54.07
2.553,21.5,57.46,20.33
1.03,44.09,55.17,41.22
0.622,49.05,45.7,20.04
2.737,46.16,15.56,31.73
2.574,45.92,27.98,44.03
2.493,4.41,57.97,45.27
1.864,1.94,7.42,10.22
1.31,2.21,7.45,3.58
0.638,15.5,57.42,23.81
1.679,49.22,52.75,45.72
0.429,32.99,7.14,54.76
1.123,53.69,49.59,11.69
2.698,13.6,47.72,10.76
2.386,42.67,45.88,7.0
0.803,14.9,48.6,53.17
1.312,25.34,59.0,40.64
1.857,42.03,13.52,46.43
1.746,56.66,2.54,28.69
1.886,40.1,6.85,32.34
1.996,19.01,21.24,40.02
1.752,25.89,7.92,21.8
2.876,21.04,40.11,30.41
2.656,35.6,26.08,49.16
0.11,59.55,28.53,31.66
2.673,35.08,44.93,22.87
2.069,52.79,55.96,34.02
2.491,1.6,42.03,6.43
2.57,5.05,39.55,19.31
1.236,3.19,51.7,35.36
2.404,18.38,42.59,5.47
2.052,2.91,4.3,42.64
2.693,53.99,0.49,39.91
2.352,20.99,22.88,23.18
0.672,0.13,32.82,16.5
2.69,40.06,50.9,9.91
0.866,6.42,35.09,0.27
2.233,53.94,31.72,42.83
0.208,54.8,28.43,40.3
1.358,55.7,15.25,53.43
2.029,32.31,40.68,3.03
0.77,37.64,1.87,20.46
1.849,50.42,35.8,39.09
0.224,34.33,36.44,22.09
1.335,1.74,45.8,25.19
0.722,35.9,13.88,29.35
2.04,14.93,6.48,24.61
0.552,30.12,46.12,52.65
1.015,13.13,11.1,57.88
1.591,16.23,59.27,36.56
1.29,7.13,49.25,27.72
0.08,35.86,0.27,40.09
2.269,10.74,43.26,49.76
0.576,52.74,12.89,42.16
2.241,18.54,49.16,43.84
0.825,7.5,35.84,1.23
1.568,4.94,54.8,31.61
2.289,36.33,47.75,23.91
2.858,15.79,16.64,0.79
1.393,30.68,53.2,45.19
0.427,49.7,40.98,52.96
1.589,9.99,24.71,13.69
0.459,16.14,45.38,33.11
2.545,16.2,40.8,2.61
0.946,19.87,41.88,24.53
0.719,42.09,56.7,36.65
2.909,36.35,54.65,30.11
0.36,49.1,26.73,28.79
1.027,38.12,47.02,51.55
2.149,56.61,9.89,25.26
2.337,47.18,28.4,9.26
1.03,32.19,37.77,55.75
0.944,28.08,0.62,26.36
0.75,26.89,43.44,21.23
2.929,51.49,56.08,52.05
1.63,46.21,48.32,0.83
0.934,28.45,16.83,22.0
1.577,38.65,10.1,36.97
2.77,2.74,14.44,24.2
2.885,31.62,18.82,18.22
0.169,42.39,17.0,11.5
2.206,10.51,5.14,10.68
0.236,46.98,25.9,56.94
2.988,17.08,25.67,53.46
2.216,23.48,54.17,7.08
1.425,27.09,58.77,24.97
1.638,53.94,41.78,43.28
2.674,34.34,48.92,25.94
0.655,40.75,32.55,55.49
0.317,33.82,52.28,30.39
1.706,19.04,59.44,49.27
0.476,47.54,28.17,54.98
1.753,22.46,5.03,57.88
1.419,41.2,41.01,45.22
1.68,3.7,23.81,0.84
0.733,34.16,36.48,27.71
2.045,40.8,54.59,24.57
2.715,11.02,54.31,12.04
2.321,17.01,27.6,30.18
2.335,31.68,23.61,16.55
2.873,13.91,10.5,28.36
2.532,49.76,5.13,1.56
1.871,17.37,42.22,32.49
2.036,2.76,41.52,58.78
2.328,35.48,35.42,50.76
1.907,4.28,22.58,32.45
0.182,6.45,41.16,31.04
0.484,52.54,28.52,2.46
2.307,56.15,21.68,24.52
2.105,25.39,33.14,53.02
1.548,26.29,40.96,42.69
1.343,42.47,1.99,28.2
0.644,19.89,10.16,12.57
2.232,21.67,50.72,47.19
0.932,48.88,23.44,1.5
0.756,6.72,24.44,44.42
0.565,47.13,1.96,17.46
2.703,24.19,0.66,57.35
2.743,55.15,3.77,19.06
2.206,51.16,17.61,25.0
0.043,49.72,18.94,58.63
0.834,31.1,10.08,19.25
2.788,19.06,17.91,57.97
2.989,0.47,17.96,20.68
1.718,54.27,15.44,2.35
2.093,6.54,34.9,58.9
1.6,31.3,23.17,48.47
2.356,8.9,17.92,10.33
1.482,53.42,44.49,0.06
2.483,31.82,26.71,40.58
2.253,33.37,55.34,8.15
2.354,11.49,18.89,17.5
0.584,41.36,46.35,12.82
1.55,6.63,52.2,24.57
1.871,40.74,40.51,41.52
2.051,11.15,25.87,23.75
1.63,7.22,26.29,24.57
1.282,13.66,46.98,17.0
2.379,29.83,23.16,23.36
0.237,27.74,29.25,31.32
2.714,22.68,45.68,50.05
0.116,4.41,0.97,45.63
0.623,48.26,21.81,29.52
1.917,42.47,23.76,24.08
2.346,10.03,55.47,0.73
1.517,44.68,16.32,48.11
1.192,30.0,48.85,42.1
2.828,6.41,34.9,54.36
1.969,33.55,21.28,9.07
0.066,21.27,31.29,26.57
1.685,48.73,28.62,13.9
2.285,36.13,5.04,4.56
1.376,59.15,4.0,6.57
1.057,16.28,55.86,31.19
1.744,18.49,4.37,4.91
1.383,18.22,38.26,22.55
2.961,35.36,39.09,53.57
1.094,54.69,6.93,54.21
1.452,2.71,30.34,59.15
1.383,55.54,3.48,17.09
2.734,45.45,27.24,49.18
2.579,4.02,25.23,44.27
1.311,23.29,51.0,55.48
0.413,18.62,4.23,12.82
0.031,29.94,24.82,55.18
0.812,39.39,4.53,51.45
0.271,56.01,52.33,2.01
0.357,1.02,59.63,5.69
2.6,23.88,58.98,30.44
1.666,10.19,54.81,8.26
1.171,11.73,36.77,44.15
1.428,47.33,23.85,24.14
2.51,29.61,34.92,30.31
2.048,44.74,51.96,36.31
3.0,0.89,36.9,50.19
1.401,36.09,12.17,13.29
0.054,13.23,0.19,46.67
1.967,12.73,15.43,22.96
2.761,12.3,20.85,49.05
2.296,1.33,12.21,26.97
0.104,44.47,43.01,20.73
2.977,58.3,24.21,2.45
1.478,28.49,55.3,36.42
2.966,3.59,21.67,41.05
0.808,44.6,6.49,52.45
2.232,12.47,16.74,44.67
1.26,53.42,23.51,16.11
1.514,2.19,12.71,41.45
1.846,47.88,50.19,57.79
2.299,41.65,2.61,53.55
0.374,40.04,38.42,18.07
2.646,57.78,33.35,27.32
1.757,31.51,31.91,41.39
1.353,13.29,45.08,2.46
2.338,16.78,43.89,14.25
0.54,49.24,1.34,12.23
1.37,52.54,47.1,16.7
2.217,36.64,46.21,20.18
0.038,35.58,42.82,31.47
2.459,53.94,7.12,39.57
0.82,33.28,36.62,7.36
1.22,50.51,39.0,6.96
2.959,57.35,55.24,20.59
0.146,55.84,45.67,9.4
0.958,21.14,42.58,49.0
1.299,8.24,35.62,53.84
2.324,27.73,33.49,36.13
1.905,27.37,10.21,5.24
2.231,46.69,17.27,25.03
0.75,45.19,55.95,24.76
2.875,40.16,45.92,7.08
2.043,8.21,40.5,10.39
0.933,2.84,28.27,50.0
2.106,5.65,19.74,59.42
1.507,12.15,8.62,54.06
2.125,31.76,55.72,52.82
2.312,55.61,48.71,46.73
2.256,13.88,53.0,47.55
1.752,27.26,7.34,4.31
1.161,52.37,38.29,11.83
1.305,20.15,40.19,38.02
1.22,56.19,15.63,12.06
0.561,42.64,55.88,40.6
0.533,48.99,44.69,41.41
1.444,42.14,31.78,34.56
0.6,5.19,34.68,16.75
0.748,52.25,27.83,1.36
2.393,45.87,47.6,20.71
1.362,19.92,43.77,57.28
1.988,36.84,42.98,4.63
2.373,21.71,33.06,13.18
1.711,44.04,59.26,40.46
2.504,43.6,58.15,40.38
1.111,17.14,54.35,53.98
2.665,33.91,9.14,53.02
0.317,49.84,45.54,2.54
2.869,19.18,33.1,33.87
1.74,35.27,15.32,0.75
1.055,8.32,21.92,10.58
2.63,35.4,58.59,21.74
0.985,36.63,32.11,49.02
0.069,48.13,22.98,57.54
0.525,6.34,58.63,8.9
2.073,21.84,51.18,33.39
0.712,18.92,59.58,17.08
2.319,13.1,36.37,44.56
1.004,2.13,4.01,12.51
2.271,50.92,26.65,46.54
1.205,10.12,44.93,55.17
2.311,13.76,19.6,51.74
1.347,45.59,52.16,10.06
0.734,37.71,42.93,26.62
2.613,49.29,0.03,43.15
1.622,46.42,12.66,6.95
0.108,7.36,24.3,48.64
2.376,38.5,1.47,26.65
1.808,42.06,41.88,11.03
0.336,35.68,19.51,3.6
2.3,8.89,55.17,37.61
2.24,40.65,6.96,35.42
1.779,41.2,54.12,54.63
0.061,6.25,29.12,57.21
0.287,41.07,53.37,4.49
1.29,12.49,58.6,54.79
0.521,44.03,0.74,19.51
0.35,25.03,50.34,11.24
1.906,27.68,30.86,9.49
1.474,28.79,32.24,33.48
2.511,34.14,15.05,46.78
2.297,28.19,39.47,28.66
1.033,49.46,22.01,13.14
2.714,43.75,31.07,58.49
2.184,16.03,13.99,9.82
0.098,53.6,50.36,59.62
1.055,33.79,52.27,1.72
1.309,20.72,32.67,14.06
2.106,29.59,21.33,56.47
2.176,14.42,1.57,20.96
2.676,18.9,13.67,49.02
1.241,49.62,21.17,6.67
2.542,14.83,56.22,8.63
1.459,7.44,27.63,38.43
1.771,57.69,39.51,0.09
1.356,8.33,12.61,12.88
2.44,17.12,41.55,20.38
2.114,35.51,43.61,33.46
0.416,35.19,28.09,14.39
1.611,23.17,27.75,55.7
0.07,30.65,29.79,37.92
2.006,3.37,20.92,42.79
0.791,26.65,15.7,45.52
2.951,13.03,14.67,28.69
0.928,8.81,4.59,6.46
0.393,59.81,11.46,57.67
1.35,54.98,52.62,53.69
1.692,50.49,5.41,48.75
1.251,50.73,22.78,34.1
0.973,40.44,12.54,42.18
0.303,45.89,29.48,28.13
0.624,21.3,7.89,12.17
2.447,37.12,42.49,1.66
0.973,28.88,21.36,46.47
0.933,20.59,18.45,9.78
0.438,57.74,4.62,31.52
2.62,34.63,16.4,25.65
0.976,42.72,49.17,33.27
2.62,7.97,1.17,33.13
0.801,50.83,12.76,27.61
0.256,31.33,58.51,38.15
0.712,25.47,12.66,27.04
1.836,9.58,24.14,16.22
1.391,47.92,39.89,13.69
2.802,44.8,11.18,21.89
1.376,19.53,0.09,35.81
2.107,42.91,33.14,44.39
1.909,17.21,20.5,31.46
2.059,29.63,31.24,12.89
1.948,24.47,52.58,1.15
1.21,47.26,17.92,21.04
1.881,46.34,17.58,37.71
1.879,21.67,40.18,48.89
2.07,35.17,37.03,38.56
1.332,18.75,9.69,53.83
1.546,45.82,10.05,38.64
0.839,45.47,43.33,32.93
1.281,54.2,59.33,11.95
2.647,4.74,39.6,20.38
1.532,20.08,57.07,24.67
2.444,5.83,58.38,14.98
2.53,40.21,5.01,35.18
2.78,38.86,14.03,11.34
0.102,27.49,17.04,35.44
0.8,36.95,45.65,25.04
0.324,17.17,45.43,42.72
1.306,54.53,12.2,9.51
0.748,17.93,37.16,58.46
1.164,22.88,44.08,26.78
0.536,21.57,56.8,9.8
0.417,16.71,14.5,53.79
0.422,22.25,1.37,25.1
0.293,37.26,28.59,59.09
0.616,23.03,49.49,22.54
0.499,5.85,28.28,28.72
0.91,50.65,50.68,15.65
1.749,42.54,24.52,48.15
2.59,54.86,18.55,25.12
0.11,43.09,8.84,38.52
0.346,31.49,46.39,44.74
2.922,31.33,16.06,36.22
2.801,1.17,2.24,50.94
1.669,49.82,29.5,52.84
0.745,33.21,16.85,33.06
2.055,20.46,25.57,29.41
1.295,17.5,46.02,21.1
2.576,12.91,12.33,27.6
1.945,9.56,17.63,11.67
2.678,39.36,23.94,38.42
1.346,31.45,22.61,4.86
2.551,8.15,36.47,10.37
1.74,18.71,41.57,12.64
1.107,20.22,21.13,33.07
2.416,51.33,53.93,19.56
0.631,8.24,40.25,32.41
1.006,6.31,6.03,42.56
0.677,57.35,57.36,40.37
0.642,42.34,38.7,48.49
0.283,33.68,26.94,21.38
1.536,42.73,19.23,33.52
2.696,47.5,35.41,48.14
0.149,36.57,0.85,14.5
0.383,12.56,4.47,4.45
2.76,8.7,39.3,41.29
1.302,52.98,51.36,19.42
0.771,47.82,52.41,50.15
1.605,44.83,13.04,20.96
2.453,22.21,3.5,12.65
0.157,17.51,36.81,8.77
0.907,32.14,25.98,40.22
1.635,59.84,52.58,15.63
2.22,13.25,27.12,23.3
2.381,7.49,44.1,23.97
0.437,43.41,54.18,49.29
2.461,4.18,11.83,31.8
1.785,52.89,52.54,42.01
0.174,10.9,48.07,55.91
0.69,58.05,19.18,40.5
2.373,56.02,45.65,51.41
2.805,39.7,44.5,21.29
1.511,59.66,0.36,8.44
1.579,41.59,45.32,0.16
2.566,55.71,39.37,9.87
2.309,25.4,11.4,49.5
0.839,3.23,30.6,31.01
0.206,21.37,27.17,58.96
0.697,53.25,31.46,4.8
0.51,5.43,32.3,44.76
0.701,34.15,46.8,8.92
2.277,33.47,25.48,13.63
2.47,24.52,30.72,36.1
0.059,0.28,24.21,50.79
1.101,24.76,38.18,27.41
2.091,49.26,13.75,41.69
0.825,56.44,5.73,36.94
0.509,3.07,47.08,22.64
1.547,53.16,18.9,58.51
1.456,55.13,48.57,21.37
1.0,57.45,0.46,23.34
2.159,16.75,47.26,13.67
0.898,17.22,40.72,43.48
1.33,36.62,37.49,40.56
1.149,7.29,53.35,34.56
1.641,4.18,20.48,33.17
0.59,32.46,30.57,56.81
1.935,5.8,1.2,27.42
2.857,32.24,51.29,22.97
1.645,44.67,59.0,10.77
1.86,24.23,16.46,46.02
2.405,29.37,45.58,10.62
1.34,44.96,0.09,45.53
1.46,55.7,4.22,34.73
1.447,47.54,53.67,2.14
2.448,22.41,48.84,43.37
1.308,32.56,46.14,17.5
1.031,51.16,58.83,22.52
1.028,17.1,53.6,44.88
1.095,5.85,25.72,42.24
2.495,14.85,29.34,48.84
1.914,59.87,53.85,30.8
0.663,42.26,57.33,40.62
1.599,48.86,12.42,1.35
1.935,11.61,22.76,49.01
2.829,53.07,36.47,31.14
1.325,41.46,32.16,27.78
2.825,9.79,12.98,18.65
2.239,46.66,20.58,51.82
0.483,12.88,22.31,22.34
0.651,56.31,57.91,41.66
